ID,CODAUTO,Comunidad,CPRO,Provincia,SERIAL,TIP_H,TOT_MH,TOT10_15,ORD,TABLET,TELEF1,TELEF2,VIV_INTER,INTEFOR,NPER,SEXO,EDAD,PC,INT,MOVIL
010000303 1,16,País Vasco,01,Araba/Álava,00003,4,4,1,6,1,6,1,1,1,03,6,12,1,6,6
010003003 1,16,País Vasco,01,Araba/Álava,00030,4,3,1,1,1,6,1,1,1,03,6,15,1,1,1
010010003 1,16,País Vasco,01,Araba/Álava,00100,4,4,2,1,1,1,1,1,1,03,6,15,1,1,1
010010003 2,16,País Vasco,01,Araba/Álava,00100,4,4,2,1,1,1,1,1,1,04,6,12,1,1,1
010010203 1,16,País Vasco,01,Araba/Álava,00102,4,4,1,1,1,1,1,1,1,03,1,11,1,1,1
010011003 1,16,País Vasco,01,Araba/Álava,00110,4,3,1,1,1,6,1,1,1,03,1,13,1,1,1
010011403 1,16,País Vasco,01,Araba/Álava,00114,4,5,1,1,6,1,1,1,2,03,1,12,9,9,1
010011802 1,16,País Vasco,01,Araba/Álava,00118,2,3,2,1,1,1,1,1,1,02,1,10,1,1,6
010011802 2,16,País Vasco,01,Araba/Álava,00118,2,3,2,1,1,1,1,1,1,03,1,10,1,1,6
010012104 1,16,País Vasco,01,Araba/Álava,00121,4,4,1,1,6,1,1,1,1,04,6,12,1,1,1
010012603 1,16,País Vasco,01,Araba/Álava,00126,4,3,1,1,1,1,1,1,1,03,6,12,1,1,1
010013203 1,16,País Vasco,01,Araba/Álava,00132,4,6,2,1,6,6,1,1,1,03,1,14,1,1,1
010013203 2,16,País Vasco,01,Araba/Álava,00132,4,6,2,1,6,6,1,1,1,04,1,14,1,1,1
010013602 1,16,País Vasco,01,Araba/Álava,00136,3,2,1,1,1,6,1,1,1,02,6,12,1,1,1
010013702 1,16,País Vasco,01,Araba/Álava,00137,4,4,1,1,1,1,1,1,1,02,1,11,1,1,6
010013802 1,16,País Vasco,01,Araba/Álava,00138,2,3,1,1,1,1,1,1,1,02,1,13,1,1,1
020014303 1,08,Castilla-La Mancha,02,Albacete,00143,4,4,1,1,6,1,1,1,1,03,6,11,1,1,6
020014704 1,08,Castilla-La Mancha,02,Albacete,00147,4,4,1,1,1,6,1,1,1,04,6,14,1,1,1
020015303 1,08,Castilla-La Mancha,02,Albacete,00153,4,4,1,1,1,6,1,1,2,03,6,12,1,1,6
020015503 1,08,Castilla-La Mancha,02,Albacete,00155,4,4,1,1,1,1,1,1,1,03,1,11,1,1,1
020015603 1,08,Castilla-La Mancha,02,Albacete,00156,5,5,2,1,1,1,6,1,1,03,6,13,1,1,6
020015603 2,08,Castilla-La Mancha,02,Albacete,00156,5,5,2,1,1,1,6,1,1,04,6,13,1,1,6
020015702 1,08,Castilla-La Mancha,02,Albacete,00157,2,3,2,1,1,1,1,1,1,02,6,15,1,1,1
020015702 2,08,Castilla-La Mancha,02,Albacete,00157,2,3,2,1,1,1,1,1,1,03,1,13,1,1,6
020016005 1,08,Castilla-La Mancha,02,Albacete,00160,4,5,1,1,6,1,1,1,1,05,1,11,1,1,6
020016203 1,08,Castilla-La Mancha,02,Albacete,00162,4,4,2,1,6,1,1,1,1,03,6,12,1,1,6
020016203 2,08,Castilla-La Mancha,02,Albacete,00162,4,4,2,1,6,1,1,1,1,04,1,12,1,1,6
020016503 1,08,Castilla-La Mancha,02,Albacete,00165,4,4,1,1,6,1,1,1,1,03,1,13,1,1,6
020016604 1,08,Castilla-La Mancha,02,Albacete,00166,4,4,1,1,6,1,1,1,1,04,1,15,1,1,1
020016703 1,08,Castilla-La Mancha,02,Albacete,00167,4,4,1,1,1,6,1,1,1,03,1,10,1,1,6
020017402 1,08,Castilla-La Mancha,02,Albacete,00174,2,2,1,6,6,6,1,1,1,02,6,11,6,1,1
020017603 1,08,Castilla-La Mancha,02,Albacete,00176,4,4,2,1,6,1,1,1,1,03,1,15,1,1,1
020017603 2,08,Castilla-La Mancha,02,Albacete,00176,4,4,2,1,6,1,1,1,1,04,6,15,1,1,1
020018703 1,08,Castilla-La Mancha,02,Albacete,00187,4,4,1,1,1,1,1,1,1,03,1,15,1,1,1
020019002 1,08,Castilla-La Mancha,02,Albacete,00190,2,2,1,1,1,6,1,1,1,02,1,15,1,1,1
020019803 1,08,Castilla-La Mancha,02,Albacete,00198,4,4,1,1,1,6,1,1,1,03,6,14,1,1,1
020020703 1,08,Castilla-La Mancha,02,Albacete,00207,4,4,2,1,1,1,1,1,1,03,6,15,1,1,1
020020703 2,08,Castilla-La Mancha,02,Albacete,00207,4,4,2,1,1,1,1,1,1,04,1,10,1,1,1
